year,propClinical,propJunior,propSenior,over70,over70Clinical,under40,under40Clinical,female,femaleClinical,femaleClinicalOnly,minority,minorityClinical,minorityClinicalOnly,minorityFemale,minorityMale,age,propCollegeDeg,propLawDeg,propAdvLawDeg,propGradDeg
1971,0.00696286472148541,0.376989389920424,0.61604774535809,0.0157559503855179,0.0156562291805463,0.476366074421723,0.476682211858761,0.030779524924724,0.0318936877076412,0.19047619047619,0.0170283806343907,0.0169098143236074,0,0.000333889816360601,0.0166944908180301,43.6492338441039,0.825709515859766,0.942904841402337,0.235726210350584,0.235726210350584
1972,0.00950628641521006,0.384237963814781,0.606255749770009,0.0142990363692882,0.0141800246609125,0.487410631022692,0.489519112207152,0.037531017369727,0.0399385560675883,0.290322580645161,0.0201238390092879,0.0199325360318921,0,0.000309597523219814,0.0198142414860681,43.1818742293465,0.835603715170279,0.953869969040248,0.238080495356037,0.238080495356037
1973,0.0128168612930789,0.392765593847907,0.594417544859015,0.0153756890049318,0.0151993117292802,0.493762692196113,0.496988815600803,0.05,0.053922967189729,0.355555555555556,0.0219272937103289,0.021646254628311,0,0.000865551067512983,0.0210617426428159,43.0659592773157,0.842181188690133,0.959030582804385,0.243508366993653,0.243508366993653
1974,0.0118247782854072,0.398280032249395,0.589895189465198,0.0161555312157722,0.0159761711345789,0.499178532311062,0.501218521527214,0.0615468409586057,0.0659311087190528,0.431818181818182,0.0239325537122654,0.0236495565708143,0,0.00108784335055752,0.0228447103617079,42.9593826157595,0.844710361707914,0.957302148490617,0.246668479738918,0.246668479738918
1975,0.0167738328207996,0.414313670673749,0.568912496505452,0.0148656375071469,0.0146520146520147,0.487993138936535,0.490560721329952,0.0637631653857102,0.0680100755667506,0.316666666666667,0.0241683252772249,0.023762929829466,0,0.00113733295422235,0.0230309923230026,43.2040011270781,0.856127381290873,0.962183679272107,0.258743247085584,0.258743247085584
1976,0.0179917335278386,0.391684901531729,0.590323364940433,0.0159283225485316,0.0156555772994129,0.49701343952215,0.50146771037182,0.0780669144981413,0.080798247748844,0.22972972972973,0.0247586036147561,0.024556284950158,0.0135135135135135,0.00148551621688537,0.0232730873978708,43.0239726027397,0.857638029215152,0.964842782867046,0.258479821738054,0.258479821738054
1977,0.0199249882794187,0.381153305203938,0.598921706516643,0.0151296829971182,0.0148374941121055,0.500240153698367,0.506358926048045,0.0876017233125898,0.0910584369866229,0.265060240963855,0.0291796220999761,0.0288326300984529,0.0117647058823529,0.00239177230327673,0.0267878497966994,43.094677343382,0.861994738100933,0.96508012437216,0.263334130590768,0.263334130590768
1978,0.0236091631603553,0.366058906030856,0.610331930808789,0.0108043217286915,0.0106007067137809,0.500120048019208,0.506007067137809,0.093914710110206,0.098993681254388,0.313131313131313,0.0296863777830979,0.02945301542777,0.0198019801980198,0.00311228154177639,0.0265740962413215,43.0419316843345,0.875508738328944,0.971031841034235,0.275317213310989,0.275317213310989
1979,0.0250498780758147,0.360452227887386,0.614497894036799,0.0116332116788321,0.0113839285714286,0.493613138686131,0.500669642857143,0.108052775250227,0.113626276076343,0.336363636363636,0.0327421555252387,0.0323653291953004,0.0176991150442478,0.0045475216007276,0.0281946339245111,43.1560267857143,0.880854934060937,0.972260118235562,0.281036834924966,0.281036834924966
1980,0.027699632114261,0.340618913655053,0.631681454230686,0.0142952870225598,0.013958560523446,0.482242573151664,0.490948745910578,0.110195903829029,0.117175655187351,0.368,0.0358335188070332,0.0350573468946116,0.0078125,0.00489650567549522,0.0309370131315379,43.53653217012,0.885154685065658,0.970175829067438,0.291787224571556,0.291787224571556
1981,0.0286491007946466,0.338979506482643,0.63237139272271,0.0145210229735587,0.0141649048625793,0.469657563935847,0.480549682875264,0.118052563550194,0.125418760469012,0.380597014925373,0.0391819160387513,0.0384776244249268,0.0145985401459854,0.00602798708288482,0.0331539289558665,43.8678646934461,0.883100107642627,0.968783638320775,0.293433799784715,0.293433799784715
1982,0.030974358974359,0.329230769230769,0.639794871794872,0.0140008485362749,0.0136279165806318,0.450148493848112,0.461903778649597,0.126032620207583,0.133675564681725,0.375838926174497,0.0402201524132091,0.0393846153846154,0.0132450331125828,0.00592718035563082,0.0342929720575783,44.2081354532315,0.889077053344623,0.973327688399661,0.298475867908552,0.298475867908552
1983,0.0284974093264249,0.336986847349542,0.634515743324034,0.0158371040723982,0.0154556403050984,0.43048128342246,0.440987555198715,0.13684858432499,0.144366899302094,0.404255319148936,0.0428717948717949,0.0420486249501794,0.013986013986014,0.00697435897435897,0.0358974358974359,44.5078281814532,0.891282051282051,0.971692307692308,0.30625641025641,0.30625641025641
