year,schoolID,propClinical,propJunior,propSenior,over70,over70Clinical,under40,under40Clinical,female,femaleClinical,femaleClinicalOnly,minority,minorityClinical,minorityClinicalOnly,minorityFemale,minorityMale,age,propCollegeDeg,propLawDeg,propAdvLawDeg,propGradDeg,private,uncappedYear,HBCU,continental
2005,S1,0.032258064516129,0.516129032258065,0.451612903225806,0,0,0.166666666666667,0.166666666666667,0.366666666666667,0.354838709677419,0,0.1,0.0967741935483871,0,0.0666666666666667,0.0333333333333333,50.0333333333333,0.9,1,0.266666666666667,0.266666666666667,0,1994,0,1
2006,S1,0.032258064516129,0.516129032258065,0.451612903225806,0.0333333333333333,0.0333333333333333,0.133333333333333,0.133333333333333,0.366666666666667,0.354838709677419,0,0.1,0.0967741935483871,0,0.0666666666666667,0.0333333333333333,51.0333333333333,0.9,1,0.266666666666667,0.266666666666667,0,1994,0,1
2007,S1,0.0645161290322581,0.451612903225806,0.483870967741936,0.0344827586206897,0.0344827586206897,0.103448275862069,0.103448275862069,0.344827586206897,0.32258064516129,0,0.103448275862069,0.0967741935483871,0,0.0689655172413793,0.0344827586206897,52.1724137931034,0.896551724137931,1,0.275862068965517,0.275862068965517,0,1994,0,1
2008,S1,0.032258064516129,0.483870967741936,0.483870967741936,0,0,0.103448275862069,0.103448275862069,0.4,0.387096774193548,0,0.133333333333333,0.129032258064516,0,0.1,0.0333333333333333,52,0.866666666666667,0.966666666666667,0.233333333333333,0.233333333333333,0,1994,0,1
2009,S1,0.0645161290322581,0.483870967741936,0.451612903225806,0,0,0.0714285714285714,0.0689655172413793,0.413793103448276,0.419354838709677,0.5,0.137931034482759,0.129032258064516,0,0.103448275862069,0.0344827586206897,52.5172413793104,0.862068965517241,0.96551724137931,0.241379310344828,0.241379310344828,0,1994,0,1
2010,S1,0.0645161290322581,0.419354838709677,0.516129032258065,0.0344827586206897,0.0333333333333333,0.0689655172413793,0.0666666666666667,0.379310344827586,0.387096774193548,0.5,0.103448275862069,0.0967741935483871,0,0.0689655172413793,0.0344827586206897,53.8,0.896551724137931,1,0.275862068965517,0.275862068965517,0,1994,0,1
2011,S1,0.0666666666666667,0.4,0.533333333333333,0.0357142857142857,0.0344827586206897,0.107142857142857,0.103448275862069,0.321428571428571,0.333333333333333,0.5,0.107142857142857,0.1,0,0.0714285714285714,0.0357142857142857,53.9310344827586,0.892857142857143,1,0.25,0.25,0,1994,0,1
2012,S1,0.0714285714285714,0.392857142857143,0.535714285714286,0.0384615384615385,0.037037037037037,0.115384615384615,0.111111111111111,0.307692307692308,0.321428571428571,0.5,0.115384615384615,0.107142857142857,0,0.0769230769230769,0.0384615384615385,54,0.884615384615385,1,0.230769230769231,0.230769230769231,0,1994,0,1
2013,S1,0.0357142857142857,0.321428571428571,0.607142857142857,0.0384615384615385,0.037037037037037,0.115384615384615,0.111111111111111,0.307692307692308,0.321428571428571,0,0.115384615384615,0.107142857142857,0,0.0769230769230769,0.0384615384615385,55,0.884615384615385,1,0.230769230769231,0.230769230769231,0,1994,0,1
2014,S1,0.0333333333333333,0.3,0.633333333333333,0.107142857142857,0.103448275862069,0.0714285714285714,0.0689655172413793,0.285714285714286,0.3,0,0.107142857142857,0.1,0,0.0714285714285714,0.0357142857142857,57.0344827586207,0.892857142857143,1,0.214285714285714,0.214285714285714,0,1994,0,1
2015,S1,0.037037037037037,0.333333333333333,0.592592592592593,0.12,0.115384615384615,0.08,0.0769230769230769,0.28,0.296296296296296,0,0.12,0.111111111111111,0,0.08,0.04,57.3846153846154,0.88,1,0.24,0.24,0,1994,0,1
2016,S1,0.107142857142857,0.25,0.642857142857143,0.12,0.115384615384615,0.16,0.153846153846154,0.32,0.357142857142857,0.666666666666667,0.12,0.107142857142857,0,0.08,0.04,57.9615384615385,0.92,1,0.2,0.2,0,1994,0,1
2017,S1,0.115384615384615,0.269230769230769,0.615384615384615,0.0869565217391304,0.0833333333333333,0.0869565217391304,0.0833333333333333,0.347826086956522,0.384615384615385,0.666666666666667,0.130434782608696,0.115384615384615,0,0.0869565217391304,0.0434782608695652,58.9166666666667,0.91304347826087,1,0.173913043478261,0.173913043478261,0,1994,0,1
1990,S10,0,0.263157894736842,0.736842105263158,0,0,0.578947368421053,0.578947368421053,0.105263157894737,0.105263157894737,,0,0,,0,0,45.1578947368421,0.894736842105263,0.947368421052632,0.315789473684211,0.315789473684211,1,1994,0,1
1991,S10,0,0.277777777777778,0.722222222222222,0.111111111111111,0.111111111111111,0.5,0.5,0.166666666666667,0.166666666666667,,0,0,,0,0,44.3888888888889,0.888888888888889,0.944444444444444,0.277777777777778,0.277777777777778,1,1994,0,1
1992,S10,0,0.235294117647059,0.764705882352941,0.0588235294117647,0.0588235294117647,0.529411764705882,0.529411764705882,0.176470588235294,0.176470588235294,,0,0,,0,0,43.8823529411765,0.941176470588235,0.941176470588235,0.294117647058824,0.294117647058824,1,1994,0,1
1993,S10,0,0.294117647058824,0.705882352941177,0.0588235294117647,0.0588235294117647,0.470588235294118,0.470588235294118,0.235294117647059,0.235294117647059,,0.0588235294117647,0.0588235294117647,,0.0588235294117647,0,42.5882352941176,0.941176470588235,1,0.235294117647059,0.235294117647059,1,1994,0,1
1994,S10,0,0.352941176470588,0.647058823529412,0,0,0.470588235294118,0.470588235294118,0.294117647058824,0.294117647058824,,0.0588235294117647,0.0588235294117647,,0.0588235294117647,0,41.4117647058824,0.941176470588235,1,0.235294117647059,0.235294117647059,1,1994,0,1
1995,S10,0,0.375,0.625,0,0,0.4375,0.4375,0.3125,0.3125,,0.0625,0.0625,,0.0625,0,41.1875,0.9375,1,0.25,0.25,1,1994,0,1
1996,S10,0,0.294117647058824,0.705882352941177,0,0,0.411764705882353,0.411764705882353,0.294117647058824,0.294117647058824,,0.0588235294117647,0.0588235294117647,,0.0588235294117647,0,42.1176470588235,0.941176470588235,1,0.294117647058824,0.294117647058824,1,1994,0,1
1997,S10,0,0.176470588235294,0.823529411764706,0,0,0.352941176470588,0.352941176470588,0.294117647058824,0.294117647058824,,0.0588235294117647,0.0588235294117647,,0.0588235294117647,0,43.1176470588235,0.941176470588235,1,0.294117647058824,0.294117647058824,1,1994,0,1
1998,S10,0,0.176470588235294,0.823529411764706,0,0,0.352941176470588,0.352941176470588,0.294117647058824,0.294117647058824,,0.0588235294117647,0.0588235294117647,,0.0588235294117647,0,44.1176470588235,0.941176470588235,1,0.294117647058824,0.294117647058824,1,1994,0,1
1999,S10,0,0.117647058823529,0.882352941176471,0,0,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,,0.0588235294117647,0.0588235294117647,,0.0588235294117647,0,45.1176470588235,0.941176470588235,1,0.294117647058824,0.294117647058824,1,1994,0,1
2000,S10,0,0.117647058823529,0.882352941176471,0,0,0.352941176470588,0.352941176470588,0.294117647058824,0.294117647058824,,0.0588235294117647,0.0588235294117647,,0.0588235294117647,0,45.7058823529412,0.941176470588235,1,0.294117647058824,0.294117647058824,1,1994,0,1
2001,S10,0,0.166666666666667,0.833333333333333,0,0,0.166666666666667,0.166666666666667,0.277777777777778,0.277777777777778,,0.0555555555555556,0.0555555555555556,,0.0555555555555556,0,46.0555555555556,0.944444444444444,1,0.277777777777778,0.277777777777778,1,1994,0,1
2002,S10,0,0.111111111111111,0.888888888888889,0,0,0.111111111111111,0.111111111111111,0.277777777777778,0.277777777777778,,0.0555555555555556,0.0555555555555556,,0.0555555555555556,0,47.0555555555556,0.944444444444444,1,0.277777777777778,0.277777777777778,1,1994,0,1
2003,S10,0,0.0625,0.9375,0,0,0.0625,0.0625,0.25,0.25,,0.0625,0.0625,,0.0625,0,49.0625,0.9375,1,0.3125,0.3125,1,1994,0,1
2004,S10,0,0.117647058823529,0.882352941176471,0,0,0.0588235294117647,0.0588235294117647,0.235294117647059,0.235294117647059,,0.0588235294117647,0.0588235294117647,,0.0588235294117647,0,48.6470588235294,0.941176470588235,1,0.294117647058824,0.294117647058824,1,1994,0,1
2005,S10,0,0.117647058823529,0.882352941176471,0,0,0.0588235294117647,0.0588235294117647,0.235294117647059,0.235294117647059,,0.0588235294117647,0.0588235294117647,,0.0588235294117647,0,49.6470588235294,0.941176470588235,1,0.294117647058824,0.294117647058824,1,1994,0,1
2006,S10,0,0.25,0.75,0,0,0.105263157894737,0.105263157894737,0.25,0.25,,0.05,0.05,,0.05,0,49.6315789473684,0.8,0.95,0.3,0.3,1,1994,0,1
2007,S10,0,0.3,0.7,0,0,0.157894736842105,0.157894736842105,0.25,0.25,,0.05,0.05,,0.05,0,49.2105263157895,0.85,0.95,0.3,0.3,1,1994,0,1
2008,S10,0,0.3,0.7,0,0,0.2,0.2,0.3,0.3,,0.05,0.05,,0.05,0,48.15,0.9,1,0.25,0.25,1,1994,0,1
2009,S10,0,0.3,0.7,0,0,0.2,0.2,0.3,0.3,,0.05,0.05,,0.05,0,49.15,0.9,1,0.25,0.25,1,1994,0,1
2010,S10,0,0.291666666666667,0.708333333333333,0.0416666666666667,0.0416666666666667,0.291666666666667,0.291666666666667,0.333333333333333,0.333333333333333,,0.0416666666666667,0.0416666666666667,,0.0416666666666667,0,49.6666666666667,0.916666666666667,1,0.291666666666667,0.291666666666667,1,1994,0,1
2011,S10,0,0.291666666666667,0.708333333333333,0.0416666666666667,0.0416666666666667,0.291666666666667,0.291666666666667,0.333333333333333,0.333333333333333,,0.0416666666666667,0.0416666666666667,,0.0416666666666667,0,50.6666666666667,0.916666666666667,1,0.291666666666667,0.291666666666667,1,1994,0,1
2012,S10,0,0.304347826086957,0.695652173913044,0.0434782608695652,0.0434782608695652,0.217391304347826,0.217391304347826,0.304347826086957,0.304347826086957,,0.0434782608695652,0.0434782608695652,,0.0434782608695652,0,52.2608695652174,0.91304347826087,1,0.304347826086957,0.304347826086957,1,1994,0,1
2013,S10,0,0.260869565217391,0.739130434782609,0.0434782608695652,0.0434782608695652,0.217391304347826,0.217391304347826,0.304347826086957,0.304347826086957,,0.0434782608695652,0.0434782608695652,,0.0434782608695652,0,53.2608695652174,0.91304347826087,1,0.304347826086957,0.304347826086957,1,1994,0,1
2014,S10,0,0.260869565217391,0.739130434782609,0.0434782608695652,0.0434782608695652,0.217391304347826,0.217391304347826,0.304347826086957,0.304347826086957,,0.0434782608695652,0.0434782608695652,,0.0434782608695652,0,54.2608695652174,0.91304347826087,1,0.304347826086957,0.304347826086957,1,1994,0,1
2015,S10,0,0.166666666666667,0.833333333333333,0.0416666666666667,0.0416666666666667,0.125,0.125,0.333333333333333,0.333333333333333,,0.0416666666666667,0.0416666666666667,,0.0416666666666667,0,55.2916666666667,0.875,1,0.291666666666667,0.291666666666667,1,1994,0,1
2016,S10,0,0.130434782608696,0.869565217391304,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.347826086956522,0.347826086956522,,0.0434782608695652,0.0434782608695652,,0.0434782608695652,0,55.6956521739131,0.869565217391304,1,0.260869565217391,0.260869565217391,1,1994,0,1
2017,S10,0,0.0434782608695652,0.956521739130435,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.347826086956522,0.347826086956522,,0.0434782608695652,0.0434782608695652,,0.0434782608695652,0,56.6956521739131,0.869565217391304,1,0.260869565217391,0.260869565217391,1,1994,0,1
1978,S10,0,0.1875,0.8125,0,0,0.25,0.25,0.0625,0.0625,,0,0,,0,0,49.875,0.9375,0.9375,0.125,0.125,1,1994,0,1
1979,S10,0,0.1875,0.8125,0,0,0.25,0.25,0.0625,0.0625,,0,0,,0,0,50.875,0.9375,0.9375,0.125,0.125,1,1994,0,1
1980,S10,0,0.176470588235294,0.823529411764706,0,0,0.235294117647059,0.235294117647059,0.0588235294117647,0.0588235294117647,,0,0,,0,0,50.6470588235294,0.941176470588235,0.941176470588235,0.176470588235294,0.176470588235294,1,1994,0,1
1981,S10,0,0.176470588235294,0.823529411764706,0,0,0.235294117647059,0.235294117647059,0.0588235294117647,0.0588235294117647,,0,0,,0,0,50.764705882353,0.941176470588235,0.941176470588235,0.176470588235294,0.176470588235294,1,1994,0,1
1971,S10,0,0.1,0.9,0,0,0.3,0.3,0.1,0.1,,0,0,,0,0,49.5,1,1,0.2,0.2,1,1994,0,1
1972,S10,0,0.0909090909090909,0.909090909090909,0,0,0.363636363636364,0.363636363636364,0,0,,0,0,,0,0,47.2727272727273,1,1,0.0909090909090909,0.0909090909090909,1,1994,0,1
1973,S10,0,0.166666666666667,0.833333333333333,0,0,0.416666666666667,0.416666666666667,0,0,,0,0,,0,0,47.1666666666667,1,1,0.0833333333333333,0.0833333333333333,1,1994,0,1
1974,S10,0,0.166666666666667,0.833333333333333,0,0,0.333333333333333,0.333333333333333,0,0,,0,0,,0,0,48.1666666666667,1,1,0.0833333333333333,0.0833333333333333,1,1994,0,1
1975,S10,0,0.0833333333333333,0.916666666666667,0,0,0.25,0.25,0,0,,0,0,,0,0,50.5833333333333,1,0.916666666666667,0.166666666666667,0.166666666666667,1,1994,0,1
1976,S10,0,0.2,0.8,0,0,0.2,0.2,0.0666666666666667,0.0666666666666667,,0,0,,0,0,51.7333333333333,0.933333333333333,0.933333333333333,0.133333333333333,0.133333333333333,1,1994,0,1
1977,S10,0,0.294117647058824,0.705882352941177,0,0,0.235294117647059,0.235294117647059,0.0588235294117647,0.0588235294117647,,0,0,,0,0,49.9411764705882,0.941176470588235,0.941176470588235,0.176470588235294,0.176470588235294,1,1994,0,1
1982,S10,0,0.235294117647059,0.764705882352941,0,0,0.294117647058824,0.294117647058824,0,0,,0,0,,0,0,50.2352941176471,0.941176470588235,0.941176470588235,0.176470588235294,0.176470588235294,1,1994,0,1
1983,S10,0,0.277777777777778,0.722222222222222,0,0,0.388888888888889,0.388888888888889,0,0,,0,0,,0,0,47.9444444444444,0.944444444444444,0.944444444444444,0.222222222222222,0.222222222222222,1,1994,0,1
1984,S10,0,0.333333333333333,0.666666666666667,0,0,0.444444444444444,0.444444444444444,0,0,,0,0,,0,0,48.4444444444445,0.888888888888889,0.944444444444444,0.222222222222222,0.222222222222222,1,1994,0,1
1985,S10,0,0.411764705882353,0.588235294117647,0.0588235294117647,0.0588235294117647,0.470588235294118,0.470588235294118,0.0588235294117647,0.0588235294117647,,0,0,,0,0,48.5294117647059,0.882352941176471,0.941176470588235,0.235294117647059,0.235294117647059,1,1994,0,1
1986,S10,0,0.555555555555556,0.444444444444444,0.0555555555555556,0.0555555555555556,0.611111111111111,0.611111111111111,0.0555555555555556,0.0555555555555556,,0,0,,0,0,44.9444444444444,0.833333333333333,0.944444444444444,0.333333333333333,0.333333333333333,1,1994,0,1
1987,S10,0,0.352941176470588,0.647058823529412,0,0,0.647058823529412,0.647058823529412,0.0588235294117647,0.0588235294117647,,0,0,,0,0,44.4705882352941,0.823529411764706,0.941176470588235,0.352941176470588,0.352941176470588,1,1994,0,1
1988,S10,0,0.352941176470588,0.647058823529412,0,0,0.588235294117647,0.588235294117647,0.0588235294117647,0.0588235294117647,,0,0,,0,0,45.4705882352941,0.823529411764706,0.941176470588235,0.352941176470588,0.352941176470588,1,1994,0,1
1989,S10,0,0.294117647058824,0.705882352941177,0,0,0.588235294117647,0.588235294117647,0.0588235294117647,0.0588235294117647,,0,0,,0,0,45.7058823529412,0.882352941176471,0.941176470588235,0.352941176470588,0.352941176470588,1,1994,0,1
1990,S100,0,0.352941176470588,0.647058823529412,0,0,0.235294117647059,0.235294117647059,0.235294117647059,0.235294117647059,,0.0588235294117647,0.0588235294117647,,0.0588235294117647,0,46.7058823529412,1,1,0.352941176470588,0.352941176470588,0,1994,0,1
1991,S100,0,0.388888888888889,0.611111111111111,0,0,0.166666666666667,0.166666666666667,0.277777777777778,0.277777777777778,,0.111111111111111,0.111111111111111,,0.111111111111111,0,47.2222222222222,1,1,0.333333333333333,0.333333333333333,0,1994,0,1
1992,S100,0,0.476190476190476,0.523809523809524,0,0,0.19047619047619,0.19047619047619,0.285714285714286,0.285714285714286,,0.19047619047619,0.19047619047619,,0.142857142857143,0.0476190476190476,47.0476190476191,1,1,0.333333333333333,0.333333333333333,0,1994,0,1
1993,S100,0,0.4,0.6,0,0,0.15,0.15,0.25,0.25,,0.15,0.15,,0.1,0.05,48.75,1,1,0.3,0.3,0,1994,0,1
1994,S100,0,0.421052631578947,0.578947368421053,0,0,0.105263157894737,0.105263157894737,0.263157894736842,0.263157894736842,,0.157894736842105,0.157894736842105,,0.105263157894737,0.0526315789473684,49.4736842105263,1,1,0.315789473684211,0.315789473684211,0,1994,0,1
1995,S100,0,0.368421052631579,0.631578947368421,0.105263157894737,0.105263157894737,0,0,0.210526315789474,0.210526315789474,,0.157894736842105,0.157894736842105,,0.105263157894737,0.0526315789473684,51.3684210526316,1,1,0.263157894736842,0.263157894736842,0,1994,0,1
1996,S100,0,0.4,0.6,0.1,0.1,0.05,0.05,0.2,0.2,,0.2,0.2,,0.1,0.1,51.45,1,1,0.25,0.25,0,1994,0,1
1997,S100,0,0.3,0.7,0.1,0.1,0,0,0.2,0.2,,0.2,0.2,,0.1,0.1,53.1,1,1,0.25,0.25,0,1994,0,1
1998,S100,0,0.4,0.6,0.05,0.05,0.1,0.1,0.3,0.3,,0.3,0.3,,0.2,0.1,50.85,0.95,1,0.25,0.25,0,1994,0,1
1999,S100,0,0.4,0.6,0,0,0.15,0.15,0.3,0.3,,0.35,0.35,,0.2,0.15,49.95,0.95,1,0.2,0.2,0,1994,0,1
2000,S100,0,0.45,0.55,0,0,0.15,0.15,0.35,0.35,,0.35,0.35,,0.2,0.15,50.3,0.95,1,0.2,0.2,0,1994,0,1
2001,S100,0.0454545454545455,0.5,0.454545454545455,0,0,0.142857142857143,0.181818181818182,0.380952380952381,0.363636363636364,0,0.428571428571429,0.454545454545455,1,0.285714285714286,0.142857142857143,49.5,0.952380952380952,1,0.285714285714286,0.285714285714286,0,1994,0,1
2002,S100,0.0869565217391304,0.478260869565217,0.434782608695652,0,0,0.142857142857143,0.181818181818182,0.380952380952381,0.391304347826087,0.5,0.428571428571429,0.434782608695652,0.5,0.285714285714286,0.142857142857143,50.5,0.952380952380952,1,0.285714285714286,0.285714285714286,0,1994,0,1
2003,S100,0.05,0.5,0.45,0.0526315789473684,0.0526315789473684,0.157894736842105,0.157894736842105,0.368421052631579,0.4,1,0.421052631578947,0.4,0,0.263157894736842,0.157894736842105,52.2105263157895,1,1,0.315789473684211,0.315789473684211,0,1994,0,1
2004,S100,0.1,0.45,0.45,0,0,0.111111111111111,0.105263157894737,0.388888888888889,0.4,0.5,0.444444444444444,0.4,0,0.277777777777778,0.166666666666667,52.2105263157895,1,1,0.333333333333333,0.333333333333333,0,1994,0,1
2005,S100,0.0526315789473684,0.473684210526316,0.473684210526316,0,0,0.0555555555555556,0.0526315789473684,0.388888888888889,0.368421052631579,0,0.444444444444444,0.421052631578947,0,0.277777777777778,0.166666666666667,53.2105263157895,1,1,0.333333333333333,0.333333333333333,0,1994,0,1
2006,S100,0.0526315789473684,0.473684210526316,0.473684210526316,0,0,0.0555555555555556,0.0526315789473684,0.388888888888889,0.368421052631579,0,0.444444444444444,0.421052631578947,0,0.277777777777778,0.166666666666667,54.2105263157895,1,1,0.333333333333333,0.333333333333333,0,1994,0,1
2007,S100,0.0909090909090909,0.5,0.409090909090909,0,0,0.05,0.0476190476190476,0.35,0.318181818181818,0,0.4,0.363636363636364,0,0.2,0.2,53.8095238095238,1,1,0.35,0.35,0,1994,0,1
